orderId,actualBoxId,actualUtilization,algorithmBoxId,algorithmUtilization,status
"TSHE2026030500154580","C0000009W",0.3236450449,"LRLF0005L",0.6016842547,"OK"
"TSHD2026030800029790","LOREAL04H",0.1688295905,"LOREAL02L",0.6370433307,"OK"
"TSHE2026030800157029","LOREAL04H",0.5293280864,"C0000007H",0.6246669095,"OK"
"TSHE2026022800083331","LOREAL03H",0.1920211859,"LOREAL17H",0.3031913462,"OK"
"TSHD2026030500014017","LOREAL03H",0.3851115385,"LOREAL03G",0.3851115385,"OK"
"TSHE2026022800114239","LRLC0003W",0.5388447205,"LOREAL02L",0.6062003106,"OK"
"TSHE2026030200002569","LOREAL03H",0.1293333333,"LOREAL02L",0.3132919255,"OK"
"TSHE2026030200088108","LOREAL03H",0.1177143830,"LOREAL17H",0.1858648153,"OK"
"TSHD2026022600075651","LOREAL04H",0.4566453333,"C0000006H",0.6597194768,"OK"
"TSHD2026030800031944","LOREAL03H",0.2444544872,"LOREAL03G",0.2444544872,"OK"
"TSHE2026030700164823","LRLC0003W",0.3517159541,"LOREAL02L",0.3956804484,"OK"
"TSHE2026030500222364","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030800030873","LRLC0003W",0.1710788130,"C0000001H",0.5184694379,"OK"
"TSHD2026030300069091","LOREAL03H",0.3536254487,"LOREAL03G",0.3536254487,"OK"
"TSHD2026022700020518","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHE2026030800136325","LRLC0003W",0.6533954451,"LOREAL02G",0.5880559006,"OK"
"TSHD2026030100080004","C0000011W",0.5780473050,"C0000011W",0.5780473050,"OK"
"TSHD2026030200044479","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030900074098","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026031000006359","LOREAL04H",0.4475838025,"C0000006H",0.6466282045,"OK"
"TSHD2026022700020402","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030800083924","LOREAL03H",0.3536254487,"LOREAL03G",0.3536254487,"OK"
"TSHE2026030500232616","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030300061311","LRLC0003W",0.1083933851,"LOREAL01G",0.1817847396,"OK"
"TSHD2026022500044863","LOREAL03H",0.1314922772,"LOREAL01G",0.4748332234,"OK"
"TSHE2026030400120738","LOREAL01H",0.1112997685,"C0000001H",0.2011252288,"OK"
"TSHE2026030800212371","LOREAL01H",0.1291608796,"C0000001H",0.2334013072,"OK"
"TSHE2026030600119575","C0000011W",0.5036814071,"C0000011W",0.5036814071,"OK"
"TSHE2026030600021509","LRLC0003W",0.2831684351,"LOREAL17H",0.2076472988,"OK"
"TSHD2026030600079049","LOREAL01H",0.1671610966,"C0000001H",0.3020699346,"OK"
"TSHD2026030600037926","LOREAL04H",0.4437812757,"LOREAL03G",0.6912746795,"OK"
"TSHE2026030500127169","LOREAL03H",0.3536254487,"LOREAL03G",0.3536254487,"OK"
"TSHD2026030500006036","LOREAL01H",0.3157834201,"C0000001H",0.5706392157,"OK"
"TSHE2026030400069189","LOREAL01H",0.1393862847,"C0000001H",0.2518792157,"OK"
"TSHE2026030300040554","LOREAL03H",0.5424990385,"LOREAL03G",0.5424990385,"OK"
"TSHD2026030600058238","LOREAL03H",0.3116995192,"LRLC0003W",0.6711542443,"OK"
"TSHD2026030900084206","LOREAL04H",0.4405183128,"C0000006H",0.6364206302,"OK"
"TSHE2026030200060364","LOREAL04H",0.6215869342,"C0000007H",0.7335427670,"OK"
"TSHD2026030900101736","LRLC0003W",0.1591692547,"LOREAL02L",0.1790654115,"OK"
"TSHD2026030700029944","LRLC0003W",0.1978047360,"C0000001H",0.5994647059,"OK"
"TSHE2026030800275237","LRLC0003W",0.2831684351,"LOREAL17H",0.2076472988,"OK"
"TSHD2026030600015398","LRLC0003W",0.2599130435,"LOREAL02L",0.2924021739,"OK"
