item-id,length,width,height
00165003U,0,0,0
00167003U,0,0,0
02321495U,0,0,0
05932110T,0,0,0
07691110T,0,0,0
07691110E,0,0,0
07691110P,0,0,0
10SV0001,0,0,0
10SV0003,0,0,0
10SV0002,0,0,0
103,0,0,0
25221110,0,0,0
25221110T,0,0,0
25220610,0,0,0
25220710,0,0,0
25251910E,0,0,0
25221010,0,0,0
25222910,0,0,0
25251010,0,0,0
25250510,0,0,0
25251710,0,0,0
25251910,0,0,0
25223210,0,0,0
25250610,0,0,0
25252010E,0,0,0
25251910P,0,0,0
25251910T,0,0,0
25252010,0,0,0
25252010T,0,0,0
25252110T,0,0,0
25252110,0,0,0
25252110E,0,0,0
25252810,0,0,0
25257810E,0,0,0
25254210,0,0,0
25257810,0,0,0
25254610,0,0,0
25257810T,0,0,0
25252910,0,0,0
25253010,0,0,0
25257810M,0,0,0
25257910E,0,0,0
25257910T,0,0,0
25258010T,0,0,0
25262010,0,0,0
25257910,0,0,0
25258010,0,0,0
25261610T,0,0,0
25258010E,0,0,0
25260410,0,0,0
25261510T,0,0,0
25268410,0,0,0
25261510,0,0,0
25261610,0,0,0
25261710,0,0,0
25261710T,0,0,0
25262010T,0,0,0
25263610,0,0,0
25262210,0,0,0
25262110,0,0,0
25262110T,0,0,0
25262810,0,0,0
25268310,0,0,0
25268810,0,0,0
25262210T,0,0,0
25270610,0,0,0
25271610,0,0,0
25264710,0,0,0
25271710,0,0,0
25268610,0,0,0
25268510,0,0,0
25268710,0,0,0
25272510,0,0,0
25271910,0,0,0
25270510,0,0,0
25272410,0,0,0
25273410,0,0,0
25271810,0,0,0
25272610,0,0,0
25273310,0,0,0
25273910,0,0,0
25274610,0,0,0
25274410T,0,0,0
25274110,0,0,0
25274010,0,0,0
25274410,0,0,0
25273510,0,0,0
25275210,0,0,0
25274210,0,0,0
25274310,0,0,0
25274910,0,0,0
25275110,0,0,0
25274510,0,0,0
25274710,0,0,0
25275310,0,0,0
25275310T,0,0,0
25275910T,0,0,0
25275410,0,0,0
25275710,0,0,0
25275610,0,0,0
25275910,0,0,0
25276010T,0,0,0
25275510,0,0,0
25276110,0,0,0
25276310,0,0,0
25275810,0,0,0
25275610T,0,0,0
25276010,0,0,0
25277510,0,0,0
25277010,0,0,0
25276510,0,0,0
25277910,0,0,0
25276910,0,0,0
25277610,0,0,0
25277610M,0,0,0
25276610,0,0,0
25276810,0,0,0
25277710,0,0,0
25279110,0,0,0
25278710,0,0,0
25279010,0,0,0
25280210,0,0,0
25279510,0,0,0
25280010,0,0,0
25278810,0,0,0
25279810,0,0,0
25281910,0,0,0
25279710,0,0,0
25282710,0,0,0
25280410,0,0,0
25280610,0,0,0
25279610,0,0,0
25280110,0,0,0
25279910,0,0,0
25283210,0,0,0
25282810,0,0,0
25283810,0,0,0
25283310,0,0,0
25282910,0,0,0
25283110,0,0,0
25283010,0,0,0
25283610,0,0,0
25284110,0,0,0
25284410,0,0,0
25284310,0,0,0
25283910,0,0,0
25284510,0,0,0
25284210,0,0,0
25285210,0,0,0
25285010,0,0,0
25285610,0,0,0
25284610,0,0,0
25285110,0,0,0
25284910,0,0,0
25285410,0,0,0
25287010D,0,0,0
25285310,0,0,0
25284710,0,0,0
25285810,0,0,0
25287010E,0,0,0
25287210,0,0,0
25287010,0,0,0
25288710,0,0,0
25289810,0,0,0
25285710,0,0,0
25287310,0,0,0
25287010T,0,0,0
25287110,0,0,0
25289810E,0,0,0
25288710T,0,0,0
25288910,0,0,0
25288910T,0,0,0
25289910D,0,0,0
25289910,0,0,0
25289810T,0,0,0
25290610,0,0,0
25288810,0,0,0
25289910T,0,0,0
25290010,0,0,0
25289910E,0,0,0
25289810D,0,0,0
25290310,0,0,0
25290210,0,0,0
25290710T,0,0,0
25292110T,0,0,0
25290710,0,0,0
25290410T,0,0,0
25290010T,0,0,0
25290310T,0,0,0
25291110T,0,0,0
25292110,0,0,0
25290410,0,0,0
25291010,0,0,0
25290910,0,0,0
25292210,0,0,0
25291410,0,0,0
25291110,0,0,0
25291710,0,0,0
25290910T,0,0,0
25292510,0,0,0
25291510,0,0,0
25293010,0,0,0
25292610,0,0,0
25293510,0,0,0
25292710,0,0,0
25292310,0,0,0
25294410,0,0,0
25293810,0,0,0
25292910,0,0,0
25294510,0,0,0
25293110,0,0,0
25294510T,0,0,0
25294010,0,0,0
25294910,0,0,0
25294310,0,0,0
25294510E,0,0,0
25294610,0,0,0
25293710,0,0,0
25295010,0,0,0
25295210D,0,0,0
25295210E,0,0,0
25295210,0,0,0
25294710,0,0,0
25295310T,0.07,0.07,0.13
25294910T,0,0,0
25295210T,0,0,0
25294810,0,0,0
25295410E,0,0,0
25295310D,0,0,0
25295310E,0,0,0
25295310,0.07,0.07,0.13
25295510,0.005,0.005,0.128
25295410,0,0,0
25295510T,0,0,0
25295710,0,0,0
25295410T,0,0,0
25295610E,0,0,0
25295510E,0,0,0
25295410D,0,0,0
25295610T,0,0,0
25295610,0,0,0
25295710E,0,0,0
25295810E,0,0,0
25296110D,0,0,0
25295810,0.007,0.007,0.128
25295910T,0,0,0
25295710T,0,0,0
25296010,0,0,0
25296110,0.07,0.07,0.165
25295910,0.008,0.008,0.129
25296110T,0.07,0.07,0.13
25295910E,0,0,0
25296210E,0,0,0
25296010E,0,0,0
25296210,0.01,0.01,0.162
25295810T,0,0,0
25296010T,0,0,0
25296210D,0,0,0
25296210T,0,0,0
25296010D,0,0,0
25296410,0,0,0
25296410E,0,0,0
25296610D,0,0,0
25296110E,0,0,0
25296410D,0,0,0
25296510,0,0,0
25296510T,0,0,0
25296510E,0,0,0
25296610T,0,0,0
25296610,0,0,0
25296710,0,0,0
25296410T,0,0,0
25297010E,0,0,0
25296610E,0,0,0
25296710E,0,0,0
25296510D,0,0,0
25296710D,0,0,0
25297010T,0,0,0
25297010D,0,0,0
25297110,0,0,0
25297110E,0,0,0
25297010,0,0,0
25296710T,0,0,0
25297110T,0,0,0
25297110D,0,0,0
25297210,0,0,0
25297210D,0,0,0
25297310,0,0,0
25297210E,0,0,0
25297310D,0,0,0
25297310T,0,0,0
25297410,0,0,0
25297510,0,0,0
25297410E,0,0,0
25297210T,0,0,0
25297710,0,0,0
25297410D,0,0,0
25297710D,0,0,0
25297310E,0,0,0
25297510T,0,0,0
25297410T,0,0,0
25297510D,0,0,0
25297710E,0,0,0
25297510E,0,0,0
25298010T,0,0,0
25298110,0,0,0
25297810,0,0,0
25297710T,0,0,0
25298210E,0,0,0
25298010E,0,0,0
25297810D,0,0,0
25297810E,0,0,0
25297810T,0,0,0
25298110D,0,0,0
25298010D,0,0,0
25298210,0,0,0
25298510,0,0,0
25298210T,0,0,0
25298110T,0,0,0
25298710T,0,0,0
25298510E,0,0,0
25298110E,0,0,0
25298010,0,0,0
25298610E,0,0,0
25298210D,0,0,0
25298710,0,0,0
25298610P,0,0,0
25298610T,0,0,0
25298610,0,0,0
25298910,0,0,0
25299010E,0,0,0
25298910E,0,0,0
25299010,0,0,0
25298510T,0,0,0
25298910T,0,0,0
25299110,0,0,0
25299010T,0,0,0
25298710E,0,0,0
25298910P,0,0,0
25299210P,0,0,0
25299210E,0,0,0
25299210,0,0,0
25299110P,0,0,0
25299310E,0,0,0
25299010P,0,0,0
25299110E,0,0,0
25299110T,0,0,0
25299410E,0,0,0
25299310,0,0,0
25299410,0,0,0
25299410P,0,0,0
25299310T,0,0,0
25299310P,0,0,0
25299210T,0,0,0
25299510T,0,0,0
25299610,0,0,0
25299510E,0,0,0
25299410T,0,0,0
25300710,0,0,0
25300010E,0,0,0
25299810,0,0,0
25300010,0,0,0
25299510,0,0,0
25300210P,0,0,0
25299910,0,0,0
25299510P,0,0,0
25300210,0,0,0
25300210B,0,0,0
25300010T,0,0,0
25300910,0,0,0
25300310E,0,0,0
25300210E,0,0,0
25300810,0,0,0
25300210T,0,0,0
25300310,0,0,0
25300710T,0,0,0
25300310T,0,0,0
25300910T,0,0,0
25300610,0,0,0
25300810T,0,0,0
25300810E,0,0,0
25301210,0,0,0
25301210E,0,0,0
25301110E,0,0,0
25300710E,0,0,0
25301310,0,0,0
25301110M,0,0,0
25300910E,0,0,0
25301410,0,0,0
25301110,0,0,0
25301110T,0,0,0
25301510,0,0,0
25301510E,0,0,0
25301310M,0,0,0
25301410T,0,0,0
25301310E,0,0,0
25301410E,0,0,0
25301310T,0,0,0
25302410E,0,0,0
25302510E,0,0,0
25301210T,0,0,0
25301510T,0,0,0
25302410,0,0,0
25302310,0,0,0
25302310E,0,0,0
25302310T,0,0,0
25302610,0.03,0.018,0.085
25302510M,0,0,0
25303010T,0,0,0
25302610T,0,0,0
25302410P,0,0,0
25302410T,0,0,0
25302510T,0,0,0
25302510,0.029,0.02,0.095
25302510P,0,0,0
25303710T,0,0,0
25302610E,0,0,0
25303510,0,0,0
25303710,0,0,0
25302610P,0,0,0
25303510T,0,0,0
25303310,0,0,0
25303010E,0,0,0
25303510E,0,0,0
25304010,0,0,0
25303310E,0,0,0
25304110,0,0,0
25303310T,0,0,0
25303010,0,0,0
25304510,0,0,0
25303710E,0,0,0
25306210E,0,0,0
25304010T,0,0,0
25304510T,0,0,0
25306610,0,0,0
25306210T,0,0,0
25304810,0,0,0
25306210,0,0,0
25304910,0,0,0
25306310T,0,0,0
25306310E,0,0,0
25304110T,0,0,0
25306310,0,0,0
25307010,0,0,0
25306710E,0,0,0
25307110E,0,0,0
25306610M,0,0,0
25306610S,0,0,0
25306610T,0,0,0
25305110,0,0,0
25306710T,0,0,0
25306710,0,0,0
25308710,0,0,0
25306610E,0,0,0
25308910,0,0,0
25307010E,0,0,0
25307110,0,0,0
25308710E,0,0,0
25307010S,0,0,0
25307010M,0,0,0
25309210E,0,0,0
25309410,0,0,0
25309210,0,0,0
25307010T,0,0,0
25307110T,0,0,0
25308910T,0,0,0
25309510T,0,0,0
25308910E,0,0,0
25309210T,0,0,0
25309510,0,0,0
25309410E,0,0,0
25309710E,0,0,0
25308710T,0,0,0
25309410M,0,0,0
25309710,0,0,0
25309710T,0,0,0
25310710,0,0,0
25310810,0,0,0
25309410T,0,0,0
25311710,0,0,0
25311210,0,0,0
25311110E,0,0,0
25309510E,0,0,0
25311210T,0,0,0
25311110,0,0,0
25311510E,0,0,0
25311710T,0,0,0
25311510T,0,0,0
25311710E,0,0,0
25311110T,0,0,0
25311810,0,0,0
25311210E,0,0,0
25311810D,0,0,0
25311810E,0,0,0
25311710D,0,0,0
25311510,0,0,0
25312010E,0,0,0
25311810T,0,0,0
25312010D,0,0,0
25312010,0,0,0
25312310T,0,0,0
25312210T,0,0,0
25312210E,0,0,0
25312210,0,0,0
25312210D,0,0,0
25315010E,0,0,0
25312010T,0,0,0
25312410T,0,0,0
25312710T,0,0,0
25312310,0,0,0
25315410,0,0,0
25312710,0,0,0
25315310T,0,0,0
25315010T,0,0,0
25312410,0,0,0
25315310,0,0,0
25315110,0,0,0
25315110E,0,0,0
25315510E,0,0,0
25315010,0,0,0
25315110T,0,0,0
25315410E,0,0,0
25315410T,0,0,0
25315510T,0,0,0
25316810,0,0,0
25315510,0,0,0
25315310E,0,0,0
25316210,0,0,0
25316210T,0,0,0
25316410T,0,0,0
25316410,0,0,0
25316610,0,0,0
25317010T,0,0,0
25316910,0,0,0
25316910E,0,0,0
25316810E,0,0,0
25317010,0,0,0
25317010E,0,0,0
25316810T,0,0,0
25318010,0,0,0
25318910,0,0,0
25316910T,0,0,0
25318010D,0,0,0
25317110E,0,0,0
25318010E,0,0,0
25317110,0,0,0
25318210T,0,0,0
25318210E,0,0,0
25318010T,0,0,0
25318210,0,0,0
25317110T,0,0,0
25319110E,0,0,0
25318210D,0,0,0
25319510,0,0,0
25318910E,0,0,0
25319110T,0,0,0
25319210E,0,0,0
25319110,0,0,0
25319210T,0,0,0
25318910T,0,0,0
25319210,0,0,0
25319510E,0,0,0
25319310,0,0,0
25319310E,0,0,0
25319710,0,0,0
25319710E,0,0,0
25319710T,0,0,0
25319310T,0,0,0
25319910,0,0,0
25319910T,0,0,0
25319910E,0,0,0
25319510T,0,0,0
25320010E,0,0,0
25320110D,0,0,0
25320010T,0,0,0
25320010,0,0,0
25320210E,0,0,0
25320310D,0,0,0
25320210T,0,0,0
25320110E,0,0,0
25320110,0,0,0
25320110T,0,0,0
25320210,0,0,0
25320210D,0,0,0
25320310E,0,0,0
25320310T,0,0,0
25320810,0,0,0
25320510D,0,0,0
25320510E,0,0,0
25320510T,0,0,0
25320810D,0,0,0
25320310,0,0,0
25320910,0,0,0
25320510,0,0,0
25320810M,0,0,0
25320810E,0,0,0
25320910E,0,0,0
25320810T,0,0,0
25320910D,0,0,0
25325110,0.115,0.055,0.055
25320910T,0,0,0
25321010D,0,0,0
25325110P,0,0,0
25321010T,0,0,0
25321010E,0,0,0
25325110D,0,0,0
25321010,0,0,0
25325410E,0,0,0
25325110M,0,0,0
25325110E,0,0,0
25325410D,0,0,0
25325110T,0,0,0
25325410T,0,0,0
25325510E,0,0,0
25325510,0,0,0
25325410,0,0,0
25325510D,0,0,0
25325410P,0,0,0
25325610D,0,0,0
25325510P,0,0,0
25325510M,0,0,0
25325610,0,0,0
25325610P,0,0,0
25325510T,0,0,0
25325910,0,0,0
25325610E,0,0,0
25325910E,0,0,0
25325910D,0,0,0
25326510,0,0,0
25326610,0,0,0
25325610T,0,0,0
25326510T,0,0,0
25326610T,0,0,0
25325910T,0,0,0
25326810E,0,0,0
25326910E,0,0,0
25326810,0,0,0
25326510E,0,0,0
25326610E,0,0,0
25326910,0,0,0
25327110E,0,0,0
25327310E,0,0,0
