caseId,startedAt,runtimeMs,packedVolume,containerVolume,utilization,placedCount,unplacedCount
"demo-batch-1",2026-04-22 16:59:38,4.192,160,1000,0.160000,3,0
"demo-batch-2",2026-04-22 16:59:38,0.573,64,960,0.066667,3,0
